School,Address,Lat/Lon,Distance (Miles)
Meridian Career Institute - Tampa,"9503 Princess Palm Avenue, Tampa, FL, 33619","(27.979929, -82.34098)",2531.07578899044
Aparicio-Levy Technical Center,"10119 East Ellicott Street, Tampa, FL, 33610","(27.990568, -82.334694)",2530.84917715428
Installer Institute,"1524 Ridgewood Ave, Holly Hill, FL, 32117","(29.25525, -81.046715)",2529.25564498604
Poynter Institute for Media Studies,"801 Third Street South, St. Petersburg, FL, 33701","(27.762596, -82.63703)",2528.32825179003
Hillsborough Community College,"39 Columbia Drive, Tampa, FL, 33606","(27.934948, -82.45724)",2528.06382518384
Eckerd College,"4200 54th Avenue South, Saint Petersburg, FL, 33711-4700","(27.718956, -82.69463)",2527.87046455657
Upper Cape Cod Regional Technical School,"220 Sandwich Road, Bourne, MA, 02532","(41.7477, -70.57938)",2527.39607923766
The University of Tampa,"401 W Kennedy Blvd, Tampa, FL, 33606-1490","(27.945154, -82.465)",2527.23482628037
Daytona College,"425 South Nova Road, Ormand Beach, FL, 32174","(29.270475, -81.08085)",2527.02004691502
Manhattan Hairstyling Academy,"4315 South Manhattan Avenue, Tampa, FL, 33611","(27.902464, -82.518456)",2526.90020656493
Learey Technical College,"5410 North 20th Street, Tampa, FL, 33610","(27.996222, -82.43681)",2526.05583598943
Massachusetts Maritime Academy,"101 Academy Dr, Buzzards Bay, MA, 02532-1803","(41.739277, -70.622986)",2525.66564506109
The Center for Guided Montessori Studies,"4532 West Kennedy Blvd. Suite 233, Tampa, FL, 33609","(27.944843, -82.521286)",2524.75794291171
Hester School of Dental Assisting,"1045 Williamsburg Road, DeLand, FL, 32720","(29.086443, -81.323944)",2524.58534486727
Suncoast II the Tampa Bay School of Massage Therapy LLC,"2005 Pan Am Circle Suite 100, Tampa, FL, 33607","(27.961191, -82.51194)",2524.39398556669
Concorde Career Institute,"4202 W. Spruce Street, Tampa, FL, 33607","(27.959488, -82.51418)",2524.37582288591
University of South Florida,"4202 East Fowler Ave, Tampa, FL, 33620-9951","(28.05446, -82.41438)",2524.28463853607
inlingua Florida Tampa,"204 S. Hoover Blvd.  Suite 170, Tampa, FL, 33609","(27.944485, -82.534515)",2524.18947299375
Open Hearts Language Academy (OHLA) Tampa,"6800 N Dale Mabry Hwy #124, Tampa, FL, 33614","(28.009007, -82.50498)",2522.42903716473
Florida Institute of Traditional Chinese Medicine,"5335 66th Street, North St. Petersburg, FL, 33709","(27.819965, -82.72851)",2521.54764969059
New Dimension Academy of Beauty,"4551 Gunn Highway, Tampa, FL, 33624","(28.048542, -82.51888)",2519.93541501143
St Petersburg Theological Seminary,"10830 Navajo Dr, St. Petersburg, FL, 33708-3116","(27.81368, -82.79017)",2519.12500131169
